Command-Line, Time, Executable, Parent PID, PID, User, Privileges
"C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2112.32.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" , 20240618145524.259970+180, None, 8580, 2240, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, 20240618145526.527929+180, C:\WINDOWS\system32\DllHost.exe, 1284, 4512, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:Global.Accounts.AppXqe94epy97qwa6w3j6w132e8zvcs117nd.mca, 20240618145603.393851+180, C:\WINDOWS\system32\backgroundTaskHost.exe, 1284, 11588, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s gpsvc, 20240618150515.117042+180, C:\WINDOWS\system32\svchost.exe, 1048, 13488, ('NT AUTHORITY', 0, 'SYSTEM'), N/A
Command-Line, Time, Executable, Parent PID, PID, User, Privileges
Command-Line, Time, Executable, Parent PID, PID, User, Privileges
Command-Line, Time, Executable, Parent PID, PID, User, Privileges
"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:Global.DesktopSpotlight.AppXz2j21w56bgxkgsjhtn7zkjsepq96erz2.mca, 20240618151103.416616+180, C:\WINDOWS\system32\backgroundTaskHost.exe, 1284, 10180, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:Global.Accounts.AppXqe94epy97qwa6w3j6w132e8zvcs117nd.mca, 20240618151103.404368+180, C:\WINDOWS\system32\backgroundTaskHost.exe, 1284, 2180, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:Global.RulesEngine.AppXgphnekvm0vv49drvfehh4b6kyf6ckafp.mca, 20240618151103.464292+180, C:\WINDOWS\system32\backgroundTaskHost.exe, 1284, 6276, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Users\Saher Mohamed\PycharmProjects\process-monitoring-wmi\venv\Scripts\python.exe" "C:\Program Files\JetBrains\PyCharm Community Edition 2021.3.2\plugins\python-ce\helpers\pycodestyle.py" --max-line-length=120 -, 20240618151107.548073+180, C:\Users\Saher Mohamed\PycharmProjects\process-monitoring-wmi\venv\Scripts\python.exe, 2924, 11932, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
"C:\Users\Saher Mohamed\PycharmProjects\process-monitoring-wmi\venv\Scripts\python.exe" "C:\Program Files\JetBrains\PyCharm Community Edition 2021.3.2\plugins\python-ce\helpers\docstring_formatter.py" rest, 20240618151642.377843+180, C:\Users\Saher Mohamed\PycharmProjects\process-monitoring-wmi\venv\Scripts\python.exe, 2924, 11292, ('DESKTOP-LBPR240', 0, 'Saher Mohamed'), N/A
